Source;Target;Weight
0;1;2
0;2;1
0;3;1
0;4;3
0;5;1
0;6;2
0;7;1
0;8;1
4;9;1
10;1;1
11;1;1
11;12;1
13;1;1
13;60;1
13;9;1
13;15;1
15;4;1
16;2;1
16;6;1
16;17;1
16;18;7
16;9;1
16;60;5
16;4;21
16;19;1
16;20;1
16;21;11
16;22;1
16;23;2
16;8;1
16;24;2
16;59;1
16;35;2
16;25;1
16;26;3
16;27;2
16;28;6
16;29;1
16;30;4
16;3;2
16;15;1
16;31;1
34;32;1
34;19;1
34;18;2
34;33;1
34;3;3
34;15;1
34;6;2
34;9;1
34;35;3
34;36;1
34;26;4
34;31;1
34;37;1
34;38;1
34;30;2
34;39;2
34;40;2
41;15;1
41;4;1
42;15;2
42;4;3
42;3;3
42;31;1
42;43;1
44;5;1
45;4;2
45;9;1
45;6;1
45;31;3
45;26;3
46;6;1
47;9;5
48;59;1
49;35;3
50;52;1
50;30;1
51;30;2
51;43;1
53;28;1
54;3;1
54;30;2
54;33;1
55;57;1
56;58;1